"Cartasynarracion_Desde-mi-celda" "Narracion-breve_El-beso" "Narracion-breve_El-Cristo-de-la-calavera" "Narracion-breve_El-maestro-Herold" "Narracion-breve_El-Miserere" "Narracion-breve_El-monte-de-las-animas" "Narracion-breve_El-rayo-de-luna" "Narracion-breve_Es-raro" "Narracion-breve_La-cruz-del-diablo" "Narracion-breve_La-cueva-de-la-mora" "Narracion-breve_La-promesa" "Narracion-breve_La-rosa-de-pasion" "Narracion-breve_La-venta-de-los-gatos" "Narracion-breve_Los-ojos-verdes" "Narracion-breve_Maese-Perez" "Narracion-breve_Mujer-de-piedra" "Narracion-breve_Tres_fechas" "Poema-en-prosa_fragmentos" "Poema-en-prosa_Las-hojas-secas" "Poesia_Rimas1" "Poesia_Rimas2" "Prosa-poetica_Creed-en-Dios" "Prosa-poetica_El-caudillo-de-las-manos-rojas" "Prosa-poetica_La-Creacion"
"se" 1.37258190763726 1.16279069767442 1.49369044553181 1.27349909035779 1.68319807634506 1.75953079178886 1.1844331641286 1.57738095238095 2.14285714285714 1.58259149357072 1.20023419203747 1.30548302872063 1.40606060606061 1.08411214953271 1.55799192152337 1.13046135044302 1.06481481481481 1.19363395225464 1.46945088940449 1.07985936715218 0.90820629257217 1.29405286343612 1.51996151996152 1.37472283813747
"del" 1.15173879011517 1.2262156448203 1.15889775946433 1.09157064887811 1.4126840997896 0.953079178885631 0.733220530174845 0.773809523809524 1.3961038961039 1.03857566765579 1.31733021077283 0.97911227154047 0.8 0.710280373831776 1.05789574918254 1.52765047357165 0.848765432098765 1.12732095490716 1.08275328692962 1.00452034153692 1.03795004865391 1.15638766519824 1.73160173160173 0.842572062084257
"con" 1.17410265011741 1.20507399577167 1.3906773113572 0.848999393571862 1.08205590622182 1.02639296187683 0.592216582064298 1.57738095238095 1.03896103896104 0.544015825914936 1.31733021077283 0.913838120104439 1.28484848484848 1.27102803738318 0.904020003846894 1.09990834097159 1.40432098765432 1.12732095490716 0.928074245939675 0.627825213460573 0.875770353551735 0.770925110132159 0.913900913900914 1.64079822616408
"una" 1.08464721010846 1.16279069767442 1.3906773113572 1.15221346270467 1.08205590622182 1.09970674486804 1.46644106034969 1.33928571428571 0.99025974025974 0.890207715133531 0.7903981264637 1.20757180156658 1.30909090909091 1.53271028037383 1.01942681284862 1.46654445462878 1.46604938271605 0.596816976127321 0.696055684454756 0.678051230537418 0.518975024326954 1.01872246696035 0.933140933140933 0.975609756097561
"su" 0.984009840098401 1.14164904862579 0.927118207571465 2.06185567010309 1.08205590622182 0.916422287390029 1.24083474337281 1.60714285714286 1.02272727272727 1.03857566765579 1.20023419203747 1.92558746736292 0.581818181818182 1.30841121495327 1.05789574918254 0.672166208371525 0.833333333333333 0.729442970822281 0.850734725444702 0.652938221998995 0.810898475510866 1.51431718061674 1.54882154882155 1.06430155210643
"por" 1.1209884826121 0.718816067653277 0.952871491115117 0.909642207398423 0.87165614667869 1.02639296187683 0.902425267907501 0.803571428571429 0.957792207792208 1.68150346191889 0.907494145199063 1.01174934725849 1.35757575757576 0.97196261682243 0.634737449509521 1.31377940727162 0.910493827160494 0.464190981432361 1.00541376643465 0.577599196383727 0.843334414531301 0.715859030837004 0.692640692640693 0.886917960088692
"al" 0.687688695068769 0.782241014799154 1.23615761009529 0.909642207398423 1.17222723174031 0.769794721407625 0.95882684715172 1.13095238095238 1.00649350649351 1.3353115727003 1.02459016393443 0.848563968668407 0.606060606060606 0.85981308411215 0.692440854010387 0.549954170485793 0.679012345679012 0.596816976127321 0.696055684454756 1.18031140130588 1.26500162179695 1.29405286343612 1.13516113516114 0.709534368070953
"sus" 0.86380409258638 0.6553911205074 0.875611640484162 0.848999393571862 1.05199879771566 0.879765395894428 1.2126339537507 0.446428571428571 1.03896103896104 1.18694362017804 1.22950819672131 0.685378590078329 0.606060606060606 1.34579439252336 0.750144258511252 0.580507179957226 0.709876543209877 0.26525198938992 0.464037122969838 0.326469110999498 0.389231268245216 1.43171806167401 1.08706108706109 1.019955654102
"no" 0.768757687576876 0.993657505285412 0.540818954416688 0.606428138265615 0.691313495641719 0.916422287390029 1.09983079526227 1.57738095238095 0.909090909090909 0.445103857566766 0.7903981264637 0.97911227154047 0.945454545454545 0.934579439252336 1.15406809001731 0.397189123128628 0.648148148148148 0.663129973474801 0.464037122969838 0.979407332998493 0.778462536490431 0.550660792951542 0.50986050986051 1.06430155210643
"como" 0.670915800067092 0.697674418604651 0.489312387329384 0.424499696785931 0.661256387135558 0.696480938416422 0.789622109419064 0.625 0.519480519480519 0.494559841740851 0.292740046838407 0.620104438642298 0.654545454545455 1.1214953271028 0.750144258511252 0.580507179957226 0.648148148148148 0.928381962864722 0.541376643464811 0.577599196383727 0.681154719429127 0.688325991189427 0.663780663780664 0.443458980044346
"lo" 0.49759588504976 0.549682875264271 0.412052536698429 0.424499696785931 0.360685302073941 0.439882697947214 0.592216582064298 0.922619047619048 0.422077922077922 0.494559841740851 0.322014051522248 0.326370757180157 0.703030303030303 0.523364485981308 0.730909790344297 0.305530094714329 0.277777777777778 0.397877984084881 0.618716163959783 0.60271220492215 0.843334414531301 0.412995594713656 0.221260221260221 0.931263858093126
"más" 0.601028737560103 0.486257928118393 0.412052536698429 0.667070952092177 0.420799519086264 0.219941348973607 0.282007896221094 0.595238095238095 0.487012987012987 0.247279920870425 0.614754098360656 0.391644908616188 0.751515151515151 0.485981308411215 0.384689363339104 0.51940116101436 0.632716049382716 0.19893899204244 0.0773395204949729 0.100452034153692 0.129743756081739 0.440528634361233 0.125060125060125 0.354767184035477
"para" 0.533937157553394 0.295983086680761 0.334792686067474 0.181928441479685 0.240456868049294 0.256598240469208 0.366610265087422 0.714285714285714 0.503246753246753 0.494559841740851 0.526932084309134 0.587467362924282 0.436363636363636 0.411214953271028 0.423158299673014 0.366636113657195 0.262345679012346 0.663129973474801 0.309358081979892 0.0502260170768458 0.162179695102173 0.412995594713656 0.471380471380471 0.443458980044346
"me" 0.408140445040814 0.25369978858351 0.0257532835436518 0 0.330628193567779 0.256598240469208 0.366610265087422 0.505952380952381 0.243506493506494 0.593471810089021 0.263466042154567 0.195822454308094 1.21212121212121 0.523364485981308 0.269282554337373 0.305530094714329 0.601851851851852 0.530503978779841 0.541376643464811 0.878955298844802 1.00551410963347 0.0825991189427313 0.269360269360269 0
"mi" 0.3690036900369 0.25369978858351 0 0.363856882959369 0.360685302073941 0.256598240469208 0.225606316976875 0.773809523809524 0.340909090909091 0.395647873392681 0.263466042154567 0.22845953002611 0.751515151515151 0.523364485981308 0.250048086170417 0.183318056828598 0.401234567901235 0.663129973474801 0.309358081979892 0.627825213460573 0.875770353551735 0.19273127753304 0.423280423280423 0.0443458980044346
"es" 0.285139215028514 0.40169133192389 0.0772598506309554 0.242571255306246 0.300571085061617 0.183284457478006 0.592216582064298 0.56547619047619 0.12987012987013 0.0494559841740851 0.234192037470726 0.456919060052219 0.290909090909091 0.336448598130841 0.673206385843431 0.122212037885732 0.123456790123457 0.26525198938992 0.154679040989946 0.853842290306379 0.746026597469997 0.247797356828194 0.452140452140452 0.48780487804878
"entre" 0.338253382533825 0.232558139534884 0.412052536698429 0.121285627653123 0.210399759543132 0.329912023460411 0.50761421319797 0.178571428571429 0.357142857142857 0.395647873392681 0.292740046838407 0.456919060052219 0.339393939393939 0.598130841121495 0.211579149836507 0.397189123128628 0.29320987654321 0.331564986737401 0.464037122969838 0.301356102461075 0.227051573143043 0.302863436123348 0.307840307840308 0.266075388026608
"yo" 0.24879794252488 0.169133192389006 0.0515065670873036 0.242571255306246 0.120228434024647 0.183284457478006 0.394811054709532 0.505952380952381 0.194805194805195 0.19782393669634 0.234192037470726 0.22845953002611 0.509090909090909 0.785046728971963 0.346220427005193 0.244424075771463 0.324074074074074 1.19363395225464 0.618716163959783 1.30587644399799 0.810898475510866 0.247797356828194 0.0384800384800385 0
"sobre" 0.220843117522084 0.211416490486258 0.180272984805563 0.242571255306246 0.210399759543132 0.366568914956012 0.310208685843204 0.0595238095238095 0.308441558441558 0.544015825914936 0.322014051522248 0.293733681462141 0.145454545454545 0.523364485981308 0.211579149836507 0.274977085242896 0.324074074074074 0.464190981432361 0.386697602474865 0.351582119537921 0.194615634122608 0.523127753303965 0.606060606060606 0.665188470066519
"cuando" 0.304707592530471 0.211416490486258 0.154519701261911 0.303214069132808 0.18034265103697 0.366568914956012 0.169204737732657 0.56547619047619 0.405844155844156 0.247279920870425 0.351288056206089 0.261096605744125 0.315151515151515 0.186915887850467 0.346220427005193 0.152765047357165 0.200617283950617 0.26525198938992 0.464037122969838 0.351582119537921 0.42166720726565 0.440528634361233 0.192400192400192 0.221729490022173
"sin" 0.262775355026278 0.169133192389006 0.28328611898017 0.242571255306246 0.450856627592426 0.183284457478006 0.112803158488438 0.297619047619048 0.211038961038961 0.29673590504451 0.351288056206089 0.261096605744125 0.460606060606061 0.11214953271028 0.269282554337373 0.488848151542927 0.339506172839506 0.26525198938992 0.154679040989946 0.401808136614766 0.194615634122608 0.412995594713656 0.230880230880231 0.443458980044346
"o" 0.377390137537739 0.232558139534884 0.463559103785733 0.181928441479685 0.300571085061617 0.146627565982405 0.394811054709532 0.416666666666667 0.25974025974026 0.0989119683481701 0.117096018735363 0.261096605744125 0.242424242424242 0.149532710280374 0.0384689363339104 0.549954170485793 0.478395061728395 0 0.0773395204949729 0.150678051230537 0.0973078170613039 0.165198237885463 0.134680134680135 0.0443458980044346
"le" 0.206865705020687 0.274841437632135 0.154519701261911 0.545785324439054 0.18034265103697 0.0366568914956012 0.310208685843204 0.922619047619048 0.438311688311688 0.395647873392681 0.468384074941452 0.359007832898172 0.193939393939394 0.224299065420561 0.596268513175611 0.0611060189428659 0.138888888888889 0.0663129973474801 0.232018561484919 0.100452034153692 0.129743756081739 0.440528634361233 0.221260221260221 0.266075388026608
"ya" 0.237616012523762 0.232558139534884 0.206026268349215 0.121285627653123 0.18034265103697 0.146627565982405 0.338409475465313 0.119047619047619 0.340909090909091 0.395647873392681 0.117096018735363 0.489556135770235 0.242424242424242 0.261682242990654 0.442392767839969 0.0611060189428659 0.277777777777778 0.13262599469496 0.232018561484919 0.125565042692115 0.162179695102173 0.137665198237885 0.25012025012025 0.133037694013304
"pero" 0.18729732751873 0.169133192389006 0.28328611898017 0.424499696785931 0.450856627592426 0.293255131964809 0.338409475465313 0.446428571428571 0.275974025974026 0.19782393669634 0.146370023419204 0.261096605744125 0.193939393939394 0.299065420560748 0.442392767839969 0.274977085242896 0.138888888888889 0.0663129973474801 0.0773395204949729 0.17579105976896 0.227051573143043 0.220264317180617 0.125060125060125 0.177383592017738
"había" 0.170524432517052 0.211416490486258 0.257532835436518 0.181928441479685 0.390742410580102 0.183284457478006 0.535815002820079 0.119047619047619 0.25974025974026 0.445103857566766 0.263466042154567 0.391644908616188 0.363636363636364 0.149532710280374 0.307751490671283 0.244424075771463 0.308641975308642 0 0.232018561484919 0 0 0.275330396475771 0.0577200577200577 0.177383592017738
"hasta" 0.259979872525998 0.295983086680761 0.180272984805563 0 0.240456868049294 0.0733137829912024 0.112803158488438 0.238095238095238 0.178571428571429 0.346191889218595 0.204918032786885 0.261096605744125 0.242424242424242 0.411214953271028 0.192344681669552 0.183318056828598 0.154320987654321 0.0663129973474801 0.154679040989946 0.0502260170768458 0.0648718780408693 0.110132158590308 0.144300144300144 0.133037694013304
"si" 0.204070222520407 0.232558139534884 0.154519701261911 0.0606428138265616 0.150285542530809 0 0.197405527354766 0.416666666666667 0.275974025974026 0.19782393669634 0.204918032786885 0.293733681462141 0.145454545454545 0.448598130841121 0.346220427005193 0.0611060189428659 0.123456790123457 0 0.0773395204949729 0.351582119537921 0.194615634122608 0.165198237885463 0.144300144300144 0.133037694013304
"ojos" 0.100637370010064 0.169133192389006 0.28328611898017 0.121285627653123 0.18034265103697 0.219941348973607 0.338409475465313 0.208333333333333 0.0649350649350649 0.0989119683481701 0.263466042154567 0.22845953002611 0.218181818181818 0.448598130841121 0.0961723408347759 0.244424075771463 0.29320987654321 0.0663129973474801 0 0.577599196383727 0.291923451183912 0.275330396475771 0.24050024050024 0.221729490022173
"qué" 0.12579671251258 0.0845665961945032 0.0257532835436518 0.121285627653123 0.18034265103697 0.219941348973607 0.338409475465313 0.327380952380952 0.0487012987012987 0.0494559841740851 0.117096018735363 0.326370757180157 0.242424242424242 0.261682242990654 0.51933064050779 0.0916590284142988 0.0925925925925926 0.0663129973474801 0.618716163959783 0.477147162230035 0.583846902367824 0.0550660792951542 0.202020202020202 0.0886917960088692
"noche" 0.114614782511461 0.232558139534884 0.28328611898017 0.181928441479685 0.300571085061617 0.62316715542522 0.423011844331641 0.0892857142857143 0.25974025974026 0.0494559841740851 0.117096018735363 0.261096605744125 0.096969696969697 0.11214953271028 0.230813618003462 0.0611060189428659 0.0771604938271605 0.26525198938992 0.386697602474865 0.301356102461075 0.227051573143043 0.110132158590308 0.278980278980279 0
"todo" 0.195683775019568 0.211416490486258 0.154519701261911 0.181928441479685 0.330628193567779 0.0733137829912024 0.141003948110547 0.297619047619048 0.0811688311688312 0.148367952522255 0.175644028103044 0.163185378590078 0.339393939393939 0.149532710280374 0.307751490671283 0.213871066300031 0.231481481481481 0.0663129973474801 0.0773395204949729 0.0753390256152687 0.129743756081739 0.0275330396475771 0.0673400673400673 0.443458980044346
"tan" 0.215252152521525 0.190274841437632 0.128766417718259 0.121285627653123 0.240456868049294 0.183284457478006 0.112803158488438 0.178571428571429 0.0974025974025974 0.19782393669634 0.0585480093676815 0.163185378590078 0.145454545454545 0.0373831775700935 0.192344681669552 0.152765047357165 0.154320987654321 0 0.232018561484919 0.150678051230537 0.291923451183912 0.0825991189427313 0.076960076960077 0.177383592017738
"después" 0.159342502515934 0.232558139534884 0.128766417718259 0.242571255306246 0.210399759543132 0.293255131964809 0.0846023688663283 0.178571428571429 0.113636363636364 0.247279920870425 0.263466042154567 0.22845953002611 0.242424242424242 0.149532710280374 0.288517022504328 0.0916590284142988 0.123456790123457 0.19893899204244 0.0773395204949729 0.0251130085384229 0.0324359390204346 0.110132158590308 0.115440115440115 0.266075388026608
"era" 0.0922509225092251 0.295983086680761 0.180272984805563 0.242571255306246 0.240456868049294 0.109970674486804 0.225606316976875 0.327380952380952 0.227272727272727 0.247279920870425 0.0292740046838408 0.261096605744125 0.387878787878788 0.0747663551401869 0.307751490671283 0.305530094714329 0.200617283950617 0.13262599469496 0.464037122969838 0.0502260170768458 0.0973078170613039 0.137665198237885 0.0192400192400192 0.0886917960088692
"aquel" 0.136978642513698 0.211416490486258 0.128766417718259 0.242571255306246 0.18034265103697 0.0733137829912024 0.0846023688663283 0.148809523809524 0.162337662337662 0.148367952522255 0.175644028103044 0.195822454308094 0.16969696969697 0.149532710280374 0.288517022504328 0.213871066300031 0.324074074074074 0 0.0773395204949729 0.0251130085384229 0.162179695102173 0.220264317180617 0.0673400673400673 0.177383592017738
"vez" 0.195683775019568 0.169133192389006 0.231779551892866 0.121285627653123 0.18034265103697 0.183284457478006 0.141003948110547 0.0297619047619048 0.162337662337662 0.148367952522255 0.117096018735363 0.130548302872063 0.193939393939394 0.186915887850467 0.0961723408347759 0.0611060189428659 0.185185185185185 0.26525198938992 0.0773395204949729 0.0753390256152687 0.259487512163477 0.110132158590308 0.0384800384800385 0.0886917960088692
"donde" 0.18729732751873 0.0634249471458774 0.128766417718259 0.0606428138265616 0.150285542530809 0.109970674486804 0.197405527354766 0.208333333333333 0.0487012987012987 0.247279920870425 0.234192037470726 0.0652741514360313 0.16969696969697 0.11214953271028 0.134641277168686 0.0916590284142988 0.154320987654321 0.0663129973474801 0.0773395204949729 0.150678051230537 0.129743756081739 0.247797356828194 0.105820105820106 0.221729490022173
"he" 0.164933467516493 0.232558139534884 0 0.363856882959369 0.18034265103697 0.219941348973607 0.394811054709532 0.119047619047619 0.0487012987012987 0.0494559841740851 0.263466042154567 0.097911227154047 0.0484848484848485 0.448598130841121 0.0769378726678207 0.0305530094714329 0.123456790123457 0.331564986737401 0.232018561484919 0.125565042692115 0.259487512163477 0.110132158590308 0.0673400673400673 0
"mis" 0.167728950016773 0.0634249471458774 0 0.0606428138265616 0.0601142170123234 0.0733137829912024 0.112803158488438 0.0595238095238095 0.178571428571429 0.148367952522255 0.204918032786885 0 0.145454545454545 0.149532710280374 0.0577034045008656 0.0305530094714329 0.37037037037037 0.464190981432361 0.0773395204949729 0.226017076845806 0.227051573143043 0.110132158590308 0.144300144300144 0
"ni" 0.148160572514816 0.147991543340381 0.128766417718259 0 0.18034265103697 0 0.112803158488438 0.178571428571429 0.373376623376623 0.19782393669634 0.0292740046838408 0.22845953002611 0.0242424242424242 0.186915887850467 0.153875745335641 0.0611060189428659 0.108024691358025 0.0663129973474801 0 0.276243093922652 0.0648718780408693 0.165198237885463 0.0577200577200577 0.443458980044346
"ha" 0.148160572514816 0.0845665961945032 0.0515065670873036 0.0606428138265616 0.0300571085061617 0.219941348973607 0.310208685843204 0.148809523809524 0.0974025974025974 0.0494559841740851 0.0292740046838408 0.130548302872063 0.121212121212121 0.186915887850467 0.250048086170417 0.0611060189428659 0.0462962962962963 0.26525198938992 0 0.0502260170768458 0.129743756081739 0.0550660792951542 0.25012025012025 0
"luz" 0.086659957508666 0.126849894291755 0.257532835436518 0.363856882959369 0.150285542530809 0.0733137829912024 0.141003948110547 0 0.0811688311688312 0 0.117096018735363 0.097911227154047 0.0727272727272727 0.0747663551401869 0.0961723408347759 0.244424075771463 0.123456790123457 0.13262599469496 0.386697602474865 0.426921145153189 0.324359390204346 0.137665198237885 0.153920153920154 0.133037694013304
"día" 0.106228335010623 0.0422832980972516 0.154519701261911 0 0.150285542530809 0.366568914956012 0.0846023688663283 0.178571428571429 0.194805194805195 0.0989119683481701 0.117096018735363 0.097911227154047 0.121212121212121 0.261682242990654 0 0.0305530094714329 0.123456790123457 0.19893899204244 0.0773395204949729 0.150678051230537 0.324359390204346 0.137665198237885 0.182780182780183 0
"esta" 0.100637370010064 0.147991543340381 0.154519701261911 0.242571255306246 0.300571085061617 0.219941348973607 0.225606316976875 0.0892857142857143 0.178571428571429 0.0494559841740851 0.0585480093676815 0.261096605744125 0.096969696969697 0.0747663551401869 0.346220427005193 0.0611060189428659 0.0771604938271605 0 0 0.0251130085384229 0.0648718780408693 0.0550660792951542 0.076960076960077 0.0443458980044346
"este" 0.148160572514816 0.147991543340381 0.128766417718259 0.181928441479685 0.210399759543132 0.109970674486804 0.0564015792442188 0.0595238095238095 0.211038961038961 0.0989119683481701 0.0292740046838408 0.130548302872063 0.16969696969697 0.149532710280374 0.0961723408347759 0.0305530094714329 0.0462962962962963 0 0.154679040989946 0 0.0973078170613039 0.0550660792951542 0.153920153920154 0
"todos" 0.12579671251258 0.0845665961945032 0.180272984805563 0.0606428138265616 0.240456868049294 0.219941348973607 0 0.148809523809524 0.25974025974026 0.19782393669634 0.0878220140515222 0.097911227154047 0.145454545454545 0.0747663551401869 0.211579149836507 0.0611060189428659 0.0925925925925926 0.19893899204244 0.232018561484919 0 0.0648718780408693 0.110132158590308 0.00962000962000962 0.133037694013304
"uno" 0.128592195012859 0.211416490486258 0.257532835436518 0.121285627653123 0.150285542530809 0 0.0564015792442188 0.267857142857143 0.162337662337662 0.0494559841740851 0.0878220140515222 0.195822454308094 0.145454545454545 0.0747663551401869 0.0577034045008656 0.0305530094714329 0.138888888888889 0 0.154679040989946 0.0251130085384229 0 0 0.076960076960077 0.266075388026608
"aquella" 0.114614782511461 0.0422832980972516 0.128766417718259 0.121285627653123 0.0901713255184851 0.0733137829912024 0.141003948110547 0.0595238095238095 0.12987012987013 0.148367952522255 0.117096018735363 0.097911227154047 0.0727272727272727 0.0747663551401869 0.0384689363339104 0.702719217842958 0.216049382716049 0 0.154679040989946 0.0753390256152687 0.0648718780408693 0.0275330396475771 0.0577200577200577 0.0886917960088692
"poco" 0.192888292519289 0.147991543340381 0.0515065670873036 0.242571255306246 0.120228434024647 0.0733137829912024 0 0.0892857142857143 0.146103896103896 0.0494559841740851 0.0878220140515222 0 0.0727272727272727 0.0747663551401869 0.0577034045008656 0.152765047357165 0.0308641975308642 0 0.154679040989946 0 0.129743756081739 0.0275330396475771 0.0481000481000481 0.0886917960088692
"ella" 0.0615006150061501 0.105708245243129 0.128766417718259 0.181928441479685 0.120228434024647 0.0733137829912024 0.197405527354766 0.208333333333333 0.0974025974025974 0.148367952522255 0.0292740046838408 0.163185378590078 0.145454545454545 0.299065420560748 0 0.183318056828598 0.138888888888889 0.331564986737401 0.309358081979892 0.301356102461075 0.0973078170613039 0 0.0288600288600289 0.177383592017738
"aún" 0.0894554400089455 0.0845665961945032 0.0772598506309554 0.181928441479685 0.360685302073941 0.146627565982405 0.197405527354766 0.0595238095238095 0.146103896103896 0.148367952522255 0.0292740046838408 0.0326370757180157 0.0484848484848485 0.0747663551401869 0.0769378726678207 0.122212037885732 0.108024691358025 0 0.0773395204949729 0.0502260170768458 0.129743756081739 0.247797356828194 0.076960076960077 0.221729490022173
"dos" 0.0698870625069887 0.0211416490486258 0.309039402523822 0.121285627653123 0.18034265103697 0.219941348973607 0.112803158488438 0.178571428571429 0.0649350649350649 0.0989119683481701 0 0.097911227154047 0.16969696969697 0.0373831775700935 0.0769378726678207 0.0916590284142988 0.154320987654321 0.13262599469496 0.309358081979892 0.301356102461075 0.129743756081739 0.0275330396475771 0.0865800865800866 0.0443458980044346
"punto" 0.131387677513139 0.147991543340381 0.128766417718259 0 0.150285542530809 0.109970674486804 0.169204737732657 0.119047619047619 0.0974025974025974 0.0989119683481701 0.0585480093676815 0.163185378590078 0.096969696969697 0.11214953271028 0.0577034045008656 0.0611060189428659 0.123456790123457 0 0.232018561484919 0.0502260170768458 0.0324359390204346 0.137665198237885 0.0192400192400192 0.0886917960088692
"él" 0.0587051325058705 0.0422832980972516 0.103013134174607 0.0606428138265616 0.0901713255184851 0.109970674486804 0.0846023688663283 0.297619047619048 0.0487012987012987 0.148367952522255 0.0585480093676815 0.0652741514360313 0.145454545454545 0.0373831775700935 0.153875745335641 0 0.0462962962962963 0.19893899204244 0.232018561484919 0.0251130085384229 0.0324359390204346 0.220264317180617 0.192400192400192 0.354767184035477
"mujer" 0.0251593425025159 0.295983086680761 0.0257532835436518 0.0606428138265616 0 0.0733137829912024 0.394811054709532 0.446428571428571 0 0.0494559841740851 0.0292740046838408 0.0326370757180157 0.096969696969697 0.448598130841121 0.0577034045008656 0.213871066300031 0.200617283950617 0.26525198938992 0 0.0753390256152687 0.0973078170613039 0 0.0384800384800385 0.133037694013304
"allí" 0.106228335010623 0.0211416490486258 0 0 0 0.0733137829912024 0.0846023688663283 0.0892857142857143 0.0487012987012987 0.19782393669634 0.117096018735363 0.0652741514360313 0.193939393939394 0.0373831775700935 0.0192344681669552 0.152765047357165 0.123456790123457 0 0 0.150678051230537 0.259487512163477 0.19273127753304 0.0577200577200577 0.177383592017738
